Rank,Player,Team,Position,Pass_Yds,Pass_TD,Pass_Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Ret_TD,Fum_TD,2PT,Lost,Fantasy_Points,Games_Played,Avg_Points,TGP,TAVG
1,Sam LaPorta,TE,DET,-,-,-,4,-,86,889,10,-,-,2,-,239.30,17,14.08,17,14.08
2,Evan Engram,TE,JAX,-,-,-,-,-,114,963,4,-,-,-,2,230.30,17,13.55,17,13.55
3,Travis Kelce,TE,KC,-,-,-,-,-,93,984,5,-,-,-,1,219.40,15,14.63,17,12.91
4,T.J. Hockenson,TE,MIN,-,-,-,-,-,95,960,5,-,-,-,1,219.00,15,14.60,17,12.88
5,George Kittle,TE,SF,-,-,-,2,-,65,1020,6,-,-,-,-,203.20,16,12.70,17,11.95
6,David Njoku,TE,CLE,-,-,-,-,-,81,882,6,-,-,-,2,201.20,16,12.58,17,11.84
7,Trey McBride,TE,ARI,-,-,-,-,-,81,825,3,-,-,-,-,181.50,17,10.68,17,10.68
8,Cole Kmet,TE,CHI,-,-,-,2,-,73,719,6,-,-,-,-,181.10,16,11.32,17,10.65
9,Jake Ferguson,TE,DAL,-,-,-,-,-,71,761,5,-,-,-,-,177.10,17,10.42,17,10.42
10,Dalton Schultz,TE,HOU,-,-,-,-,-,59,635,5,-,-,-,1,150.50,15,10.03,17,8.85
11,Dalton Kincaid,TE,BUF,-,-,-,-,-,73,673,2,-,-,-,1,150.30,16,9.39,17,8.84
12,Taysom Hill,TE,NO,83,1,-,401,4,33,291,2,-,-,-,1,143.52,16,8.97,17,8.44
13,Kyle Pitts,TE,ATL,-,-,-,-4,-,53,667,3,-,-,-,-,137.30,17,8.08,17,8.08
14,Dallas Goedert,TE,PHI,-,-,-,1,-,59,592,3,-,-,-,-,136.30,14,9.74,17,8.02
15,Mark Andrews,TE,BAL,-,-,-,-,-,45,544,6,-,-,-,-,135.40,10,13.54,17,7.96
16,Logan Thomas,,,-,-,-,2,-,55,496,4,-,-,1,2,126.80,16,7.93,0,0
17,Jonnu Smith,TE,MIA,-,-,-,-,-,50,582,3,-,-,-,1,124.20,16,7.76,17,7.31
18,Tyler Conklin,TE,NYJ,-,-,-,-,-,61,621,-,-,-,-,-,123.10,17,7.24,17,7.24
19,Hunter Henry,TE,NE,-,-,-,-,-,42,419,6,-,-,-,-,119.90,13,9.22,17,7.05
20,Cade Otton,TE,TB,-,-,-,-,-,47,455,4,-,-,1,1,116.50,16,7.28,17,6.85
21,Chig Okonkwo,TE,TEN,-,-,-,6,-,54,528,1,-,-,-,-,113.40,17,6.67,17,6.67
22,Darren Waller,,,-,-,-,-,-,52,552,1,-,-,-,-,113.20,12,9.43,0,0
